gen,seed,avg_fit,max_fit,avg_size,max_size,test
0,1714357048.9618,0.018827472043665545,0.07097257021209043,9.945,50,
1,1714357048.9618,0.033425034630517665,0.07097257021209043,7.665,46,
2,1714357048.9618,0.040117221248739794,0.08086562046120667,6.515,52,
3,1714357048.9618,0.04545282292273274,0.08528955813907638,6.15,40,
4,1714357048.9618,0.05390886152594891,0.08829336318889466,5.93,27,
5,1714357048.9618,0.05590987028808978,0.08924409931230712,6.37,34,
6,1714357048.9618,0.06025122540990617,0.08924409931230712,6.35,16,
7,1714357048.9618,0.0664761739953565,0.09253749681202433,6.7,22,
8,1714357048.9618,0.0707981084845147,0.09253749681202433,7.07,22,
9,1714357048.9618,0.07021296402937516,0.09292076329716054,7.32,19,
10,1714357048.9618,0.06964824047487757,0.09361885628028221,7.61,23,
11,1714357048.9618,0.07292567270686016,0.093528068997461,8.395,24,
12,1714357048.9618,0.07605276903420287,0.09438003247529983,9.3,28,
13,1714357048.9618,0.07879134767407178,0.09511376831440123,11.325,30,
14,1714357048.9618,0.07865814874518944,0.09838573339426761,13.38,41,
15,1714357048.9618,0.08336988707423007,0.09799355397013625,16.465,43,
16,1714357048.9618,0.08627005228780078,0.09658846491828622,19.555,53,
17,1714357048.9618,0.08815713034975388,0.09806267647207395,23.285,63,
18,1714357048.9618,0.08974151328985512,0.09872717597259988,26.63,73,
19,1714357048.9618,0.09071083884949183,0.09886612846611535,30.79,76,
20,1714357048.9618,0.09086145715220287,0.10017366054502544,33.27,76,
21,1714357048.9618,0.09336445932650646,0.10014067882454203,38.275,84,
22,1714357048.9618,0.09261387239263814,0.10032863211234841,41.345,127,
23,1714357048.9618,0.09424238019051771,0.10154161018680219,44.38,134,
24,1714357048.9618,0.09221471477925917,0.10066048474635733,44.28,112,
25,1714357048.9618,0.09478609819656313,0.10066048474635733,48.665,109,
26,1714357048.9618,0.09544793749625163,0.10211316776003987,53.395,172,
27,1714357048.9618,0.09651954519946333,0.10249565066951481,62.175,173,
28,1714357048.9618,0.0974487061078208,0.1032695814703127,71.325,192,
29,1714357048.9618,0.09681171034729603,0.10381566426212262,71.915,203,
30,1714357048.9618,0.09834308022218931,0.10356310931183096,73.52,203,
31,1714357048.9618,0.09828890779218696,0.10353503590655372,87.85,229,
32,1714357048.9618,0.09948709151228392,0.1035808421539722,103.46,307,
33,1714357048.9618,0.10069803497703315,0.10379860146404715,114.335,343,
34,1714357048.9618,0.09988230361907874,0.10359598267773043,115.535,344,
35,1714357048.9618,0.10055910062664125,0.10403503342653793,128.49,366,
36,1714357048.9618,0.10114936310107808,0.10425575589713741,134.19,567,
37,1714357048.9618,0.10210748398518785,0.10425575589713741,140.65,571,
38,1714357048.9618,0.10193564310946213,0.10439399889102727,143.615,571,
39,1714357048.9618,0.10179199649719908,0.10447181916266893,142.695,357,
40,1714357048.9618,0.10229413005456799,0.10460639367918174,145.785,502,
,,,,,,0.09388279583660908
