gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714436739.4281094,0.13103520300043453,0.9009210565033686,10.15,55,,
1,1714436739.4281094,0.3005579747466189,0.9018235819060878,8.325,39,,
2,1714436739.4281094,0.528558219769452,0.9018525906884126,7.47,27,,
3,1714436739.4281094,0.7153732781765672,0.9029243793983693,5.915,22,,
4,1714436739.4281094,0.7803293959237294,0.9029243793983693,4.925,12,,
5,1714436739.4281094,0.8353300539915967,0.9029308703699139,4.27,11,,
6,1714436739.4281094,0.8479704151889095,0.9029308703699139,4.305,10,,
7,1714436739.4281094,0.8708998184227561,0.9030681183082202,4.535,11,,
8,1714436739.4281094,0.8619792071610942,0.9035986391168334,5.215,13,,
9,1714436739.4281094,0.859929776896597,0.9035986391168334,5.725,15,,
10,1714436739.4281094,0.8872043496102932,0.90394672296091,6.385,15,,
11,1714436739.4281094,0.8750674498638606,0.9044962718517603,7.575,19,,
12,1714436739.4281094,0.8755255547610241,0.9041746044736424,8.645,21,,
13,1714436739.4281094,0.8859047113071504,0.904585213393087,10.12,23,,
14,1714436739.4281094,0.8875723411750275,0.9046550450897589,11.51,31,,
15,1714436739.4281094,0.8873622782579272,0.904515366118728,14.76,45,,
16,1714436739.4281094,0.8878318915418509,0.9047444506972859,18.285,51,,
17,1714436739.4281094,0.8999486453559759,0.9046054186542289,21.675,59,,
18,1714436739.4281094,0.8889000831416058,0.9047706515120517,25.77,69,,
19,1714436739.4281094,0.9007947010690223,0.9047541940539745,30.24,85,,
20,1714436739.4281094,0.901626342675202,0.9049028197065693,33.635,101,,
,,,,,,0.8964106448703401,
,,,,,,,"vec_add(vec_add(w2, vec_add(vec_add(w0, vec_add(w1, w4)), vec_add(w1, w4))), vec_add(vec_add(vec_add(w1, w4), vec_add(w0, vec_add(w2, w1))), w3))"
