gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714423858.3304996,0.1864454981275102,0.8995582323765774,9.7,52,,
1,1714423858.3304996,0.40438696056670426,0.8995582323765774,8.6,52,,
2,1714423858.3304996,0.6195764394335826,0.8995582323765774,7.27,51,,
3,1714423858.3304996,0.7070853792747013,0.9019040581445722,5.37,42,,
4,1714423858.3304996,0.7803184594730485,0.9028852091414004,4.05,16,,
5,1714423858.3304996,0.8520659131499447,0.9028852091414004,3.63,9,,
6,1714423858.3304996,0.8608953963966377,0.9028852091414004,3.87,9,,
7,1714423858.3304996,0.8578548496319464,0.9028852091414004,4.205,13,,
8,1714423858.3304996,0.8701770029981261,0.9032572756844991,4.8,13,,
9,1714423858.3304996,0.8620842111953283,0.9031369221173463,5.235,16,,
10,1714423858.3304996,0.8767770418705711,0.9034838650520823,6.46,14,,
11,1714423858.3304996,0.8792186268734251,0.9035099924695108,7.29,17,,
12,1714423858.3304996,0.8725536124819107,0.9038961233904852,8.01,20,,
13,1714423858.3304996,0.8870372226545282,0.903803188240273,8.55,29,,
14,1714423858.3304996,0.8810616923000688,0.9039895196334111,9.98,31,,
15,1714423858.3304996,0.8817147210548854,0.9045872131445667,11.305,35,,
16,1714423858.3304996,0.887747973152822,0.9046584293679478,12.63,32,,
17,1714423858.3304996,0.8857507020518269,0.9046584293679478,14.55,39,,
18,1714423858.3304996,0.8967839144573864,0.9046255004780488,17.635,39,,
19,1714423858.3304996,0.8985772286432473,0.9045693569218229,20.79,55,,
20,1714423858.3304996,0.8924802180654151,0.9047565990510058,21.75,55,,
,,,,,,0.8963702562473742,
,,,,,,,"vec_add(vec_add(w2, vec_add(vec_add(w1, w3), vec_add(w1, vec_add(vec_add(w1, w0), w4)))), vec_add(vec_add(w3, vec_add(vec_add(w1, w4), w0)), vec_add(w4, w3)))"
