gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714429928.6576862,0.1858752093686291,0.9009210565033686,9.815,48,,
1,1714429928.6576862,0.42402445040721554,0.9018525906884126,8.51,48,,
2,1714429928.6576862,0.5988441643094029,0.9019365750732836,7.11,47,,
3,1714429928.6576862,0.8111022195517452,0.9020085317929247,5.11,17,,
4,1714429928.6576862,0.8706226757836384,0.9029243793983693,3.88,19,,
5,1714429928.6576862,0.8933166409907897,0.9029243793983693,3.535,9,,
6,1714429928.6576862,0.8929949658116183,0.9029243793983693,4.045,11,,
7,1714429928.6576862,0.895743537498675,0.9033422792263928,4.48,13,,
8,1714429928.6576862,0.8961816130466869,0.9033422792263928,5.23,15,,
9,1714429928.6576862,0.8966667801454937,0.9037205777975702,6.05,15,,
10,1714429928.6576862,0.8993868720271776,0.904017036692598,7.08,21,,
11,1714429928.6576862,0.8996261902136697,0.9042184533903492,7.92,21,,
12,1714429928.6576862,0.9007302472987032,0.904331076491103,9.41,25,,
13,1714429928.6576862,0.9008647619294214,0.9043563938892666,10.28,25,,
14,1714429928.6576862,0.9013221336977401,0.9045379439369193,11.81,27,,
15,1714429928.6576862,0.9024139700260627,0.9046296810174796,13.16,35,,
16,1714429928.6576862,0.9024892488839035,0.9046296810174796,14.63,43,,
17,1714429928.6576862,0.9029795469309642,0.9046296810174796,16.3,37,,
18,1714429928.6576862,0.9033374791784076,0.9046512733233167,17.79,41,,
19,1714429928.6576862,0.9033005741872268,0.90464979796085,20.26,51,,
20,1714429928.6576862,0.9035063024990015,0.9046559692802987,23.84,61,,
,,,,,,0.8962143209339755,
,,,,,,,"vec_add(vec_add(vec_add(w4, vec_add(w3, w1)), w2), vec_add(vec_add(vec_add(w2, w0), w1), w3))"
