gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714424599.5440066,0.16298085243210633,0.9009210565033686,9.945,54,,
1,1714424599.5440066,0.41069615516234875,0.9022537631607823,8.31,45,,
2,1714424599.5440066,0.6142071569422872,0.9032572756844991,7.325,40,,
3,1714424599.5440066,0.7643604045153383,0.9032572756844991,6.08,34,,
4,1714424599.5440066,0.8606740749975238,0.9031569642618344,4.625,13,,
5,1714424599.5440066,0.8532347983845016,0.9035155290993792,4.435,12,,
6,1714424599.5440066,0.8609338892335475,0.9036287807509497,4.955,14,,
7,1714424599.5440066,0.8764314434652115,0.9037765345999504,5.095,11,,
8,1714424599.5440066,0.8417480980694982,0.9039322266857618,5.71,15,,
9,1714424599.5440066,0.8686331651574286,0.9036690234233401,5.96,17,,
10,1714424599.5440066,0.8701371262212958,0.9041933801187256,6.56,16,,
11,1714424599.5440066,0.8676025580676391,0.9042412988120314,7.45,19,,
12,1714424599.5440066,0.8805214169120316,0.9041933801187256,8.985,25,,
13,1714424599.5440066,0.8937284216108147,0.9043514106588261,11.205,24,,
14,1714424599.5440066,0.8802486206674897,0.9043926397495645,12.07,32,,
15,1714424599.5440066,0.8960333340244299,0.9045168317588268,13.34,32,,
16,1714424599.5440066,0.8968427299152689,0.904755943609065,15.17,33,,
17,1714424599.5440066,0.8941648858132984,0.9047640423910278,16.765,39,,
18,1714424599.5440066,0.892573072915865,0.9047640423910278,19.495,53,,
19,1714424599.5440066,0.9016545556494333,0.9048207060000094,21.36,53,,
20,1714424599.5440066,0.8939077813655196,0.9048668148526168,23.69,65,,
,,,,,,0.8967050917362689,
,,,,,,,"vec_add(vec_add(w3, vec_add(w0, vec_add(w4, vec_add(vec_add(w3, w1), w2)))), vec_add(vec_add(vec_add(w3, w2), w1), vec_add(w2, w4)))"
