gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714421855.122435,0.15506245975243688,0.8995582323765774,9.38,54,,
1,1714421855.122435,0.3733013129221945,0.9009210565033686,7.52,53,,
2,1714421855.122435,0.5919921659410879,0.9022537631607823,6.795,36,,
3,1714421855.122435,0.7382996792508993,0.9024802020860562,4.65,29,,
4,1714421855.122435,0.8191983246429575,0.9026149522754444,4.015,21,,
5,1714421855.122435,0.8424791423269136,0.9026672060803422,3.725,11,,
6,1714421855.122435,0.8642851421130942,0.9028852091414004,3.695,14,,
7,1714421855.122435,0.8229125812442041,0.9028852091414004,3.83,11,,
8,1714421855.122435,0.8076378337748857,0.9028852091414004,4.195,10,,
9,1714421855.122435,0.8317075567890868,0.9028973758342406,4.425,13,,
10,1714421855.122435,0.8213089983800205,0.9031369221173463,4.835,14,,
11,1714421855.122435,0.8280080974045951,0.9035155290993792,5.335,14,,
12,1714421855.122435,0.8430765787891539,0.9035155290993792,5.645,14,,
13,1714421855.122435,0.827640605569446,0.9033802634697217,5.88,14,,
14,1714421855.122435,0.8566052234594735,0.903568592959041,6.765,16,,
15,1714421855.122435,0.8569375291774485,0.9035670985567883,7.485,17,,
16,1714421855.122435,0.8720330777196134,0.9045730794154753,8.27,17,,
17,1714421855.122435,0.8723652639731351,0.9040565818137353,9.06,27,,
18,1714421855.122435,0.8779706935366619,0.9044507753672889,9.53,25,,
19,1714421855.122435,0.8833978604970312,0.904378902051404,10.635,28,,
20,1714421855.122435,0.8781855627302184,0.9043627215909232,12.235,34,,
,,,,,,0.896221989455711,
,,,,,,,"vec_add(vec_add(vec_add(w0, w3), w4), vec_add(w2, vec_add(w1, w3)))"
