gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714427594.3448727,0.13341713651092799,0.8995582323765774,10.025,44,,
1,1714427594.3448727,0.3501634768156056,0.8996806675350454,8.385,40,,
2,1714427594.3448727,0.589562072782117,0.9022537631607823,7.475,37,,
3,1714427594.3448727,0.7650071023088663,0.9024802020860562,5.855,31,,
4,1714427594.3448727,0.8791081419682465,0.9027560104312197,3.805,17,,
5,1714427594.3448727,0.892523194418369,0.9029243793983693,3.595,7,,
6,1714427594.3448727,0.894595182359848,0.9030681183082202,3.88,9,,
7,1714427594.3448727,0.8950026988864263,0.903102715535567,4.43,9,,
8,1714427594.3448727,0.8981212462684859,0.9032572756844991,5.16,11,,
9,1714427594.3448727,0.8993417231614117,0.9031369221173463,5.8,13,,
10,1714427594.3448727,0.899062786262451,0.9040897742431182,6.65,17,,
11,1714427594.3448727,0.8996582913551405,0.9046601796928074,8.06,19,,
12,1714427594.3448727,0.8999816812845589,0.9046601796928074,9.71,23,,
13,1714427594.3448727,0.9016978461740683,0.9045730794154753,11.82,25,,
14,1714427594.3448727,0.9025053936951275,0.9046185082886722,13.01,31,,
15,1714427594.3448727,0.9026859584277631,0.9046185082886722,15.34,37,,
16,1714427594.3448727,0.9029654622725661,0.9045730794154753,16.74,37,,
17,1714427594.3448727,0.9032287864486999,0.9045209549097254,19.01,49,,
18,1714427594.3448727,0.9033895944132803,0.9045576717346322,21.42,47,,
19,1714427594.3448727,0.9036336908194414,0.9045576717346322,23.96,69,,
20,1714427594.3448727,0.9033790113028723,0.9046110774658399,26.4,59,,
,,,,,,0.8960491299573262,
,,,,,,,"vec_add(vec_add(vec_add(w4, w3), w2), vec_add(w1, vec_add(w0, w3)))"
