gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714425381.3049822,0.13691554279744625,0.8995582323765774,11.29,50,,
1,1714425381.3049822,0.3606113242296924,0.9010954551826064,8.625,50,,
2,1714425381.3049822,0.5969346680825081,0.9018587299424468,7.985,48,,
3,1714425381.3049822,0.7262811903160322,0.9029243793983693,6.89,33,,
4,1714425381.3049822,0.7911132263320301,0.9029243793983693,5.63,31,,
5,1714425381.3049822,0.8423152239766868,0.9029857796042656,4.31,10,,
6,1714425381.3049822,0.8671486026870815,0.9030097210369867,4.03,11,,
7,1714425381.3049822,0.8597898526316143,0.9029243793983693,4.405,13,,
8,1714425381.3049822,0.8726759343253324,0.9029243793983693,4.46,11,,
9,1714425381.3049822,0.8738588741041275,0.9030866250408197,4.605,13,,
10,1714425381.3049822,0.8869796640980968,0.9038413104996528,5.195,13,,
11,1714425381.3049822,0.8701961969374556,0.9043266593009931,6.155,13,,
12,1714425381.3049822,0.8836012671773549,0.9043266593009931,6.81,19,,
13,1714425381.3049822,0.8682493406905512,0.9039467988503466,7.55,19,,
14,1714425381.3049822,0.8742288421840371,0.9045301999885275,8.865,27,,
15,1714425381.3049822,0.8928265757727597,0.9045924614731715,10.115,27,,
16,1714425381.3049822,0.8873624237003622,0.9045924614731715,12.09,31,,
17,1714425381.3049822,0.8810725240404241,0.904567800231201,14.08,41,,
18,1714425381.3049822,0.8992293090851734,0.9046042016584696,16.525,45,,
19,1714425381.3049822,0.8941540566816721,0.9046042016584696,21.955,49,,
20,1714425381.3049822,0.8979272556507238,0.9046348267101018,26.045,73,,
,,,,,,0.8962152227572864,
,,,,,,,"vec_add(vec_add(w0, vec_add(w4, vec_add(w2, w1))), vec_add(vec_add(w2, w3), vec_add(vec_add(vec_add(w2, w4), vec_add(vec_add(w4, w3), w2)), w1)))"
