gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714420498.3471756,0.1196100616802595,0.9028852091414004,10.375,50,,
1,1714420498.3471756,0.32657061893560324,0.9015258648629987,8.595,42,,
2,1714420498.3471756,0.5277756049793321,0.9019040581445722,8.12,35,,
3,1714420498.3471756,0.6761033569255589,0.9028852091414004,6.67,29,,
4,1714420498.3471756,0.7818955768314548,0.9027937906151423,5.67,23,,
5,1714420498.3471756,0.8394488720992341,0.9030269814491217,4.94,19,,
6,1714420498.3471756,0.8574421825922236,0.9030269814491217,4.75,11,,
7,1714420498.3471756,0.8356322186768517,0.9031045898224037,5.295,14,,
8,1714420498.3471756,0.8385967833572758,0.9030269814491217,6.14,16,,
9,1714420498.3471756,0.8663932848804144,0.9033802634697217,6.42,14,,
10,1714420498.3471756,0.8630603466510345,0.9039310851124965,7.005,20,,
11,1714420498.3471756,0.8474594630846053,0.9042899433426216,7.205,18,,
12,1714420498.3471756,0.8528096382600117,0.9043266593009931,8.06,22,,
13,1714420498.3471756,0.8707333901810652,0.9043266593009931,8.88,23,,
14,1714420498.3471756,0.8752033533268252,0.9046205311826367,9.385,19,,
15,1714420498.3471756,0.860649114781199,0.9047578426159713,10.69,23,,
16,1714420498.3471756,0.8613635019637027,0.9047578426159713,11.585,23,,
17,1714420498.3471756,0.8746137787236827,0.9044794468050381,12.83,31,,
18,1714420498.3471756,0.8909237565029738,0.9049343533654547,13.845,35,,
19,1714420498.3471756,0.872649939940167,0.9048924130856643,16.37,39,,
20,1714420498.3471756,0.875726910581882,0.9048494812361018,18.115,45,,
,,,,,,0.8963651757300347,
,,,,,,,"vec_add(vec_add(w3, vec_add(vec_add(w1, vec_add(w0, w2)), w4)), vec_add(vec_add(vec_add(w4, w0), w1), w2))"
