gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714432207.1466088,0.17462818389021706,0.8995582323765774,9.16,59,,
1,1714432207.1466088,0.3841691790237461,0.9022537631607823,7.965,38,,
2,1714432207.1466088,0.6168226273364551,0.9024802020860562,7.15,38,,
3,1714432207.1466088,0.7554412325360009,0.9024802020860562,5.745,36,,
4,1714432207.1466088,0.7939663612900527,0.9029243793983693,4.28,13,,
5,1714432207.1466088,0.8031561123527444,0.9029243793983693,4.145,11,,
6,1714432207.1466088,0.8189670131117691,0.9029243793983693,4.665,16,,
7,1714432207.1466088,0.8382061408263727,0.9030680048196238,5.075,14,,
8,1714432207.1466088,0.822789513114576,0.9032572756844991,5.355,15,,
9,1714432207.1466088,0.8549620872469192,0.9032572756844991,5.675,15,,
10,1714432207.1466088,0.8588170570344894,0.904021641599833,5.95,15,,
11,1714432207.1466088,0.8475731620964025,0.904021641599833,6.325,13,,
12,1714432207.1466088,0.8443809628338215,0.904021641599833,6.575,13,,
13,1714432207.1466088,0.8799224714374435,0.904021641599833,7.04,15,,
14,1714432207.1466088,0.8640270736907902,0.9041328550145478,7.845,17,,
15,1714432207.1466088,0.8695387155733496,0.9041499807555247,8.445,19,,
16,1714432207.1466088,0.8613501324373192,0.9042360296741683,8.875,18,,
17,1714432207.1466088,0.8646004266236179,0.904678089638272,9.415,21,,
18,1714432207.1466088,0.8758789117481192,0.904678089638272,9.905,19,,
19,1714432207.1466088,0.8738344801202069,0.9047042635061708,10.28,19,,
20,1714432207.1466088,0.888863569968684,0.904678089638272,10.905,17,,
,,,,,,0.8963459936601199,
,,,,,,,"vec_add(vec_add(w3, vec_add(w4, vec_add(w0, w2))), vec_add(w1, vec_add(w4, w2)))"
