gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714428404.6647735,0.13627954541762718,0.8995582323765774,9.685,49,,
1,1714428404.6647735,0.31074708030036263,0.899344197407653,7.54,32,,
2,1714428404.6647735,0.48200704799461214,0.9009210565033686,7.25,31,,
3,1714428404.6647735,0.6305008063137054,0.9009210565033686,5.65,25,,
4,1714428404.6647735,0.7792091555410835,0.9009210565033686,4.215,23,,
5,1714428404.6647735,0.8777790512922308,0.9009210565033686,3.575,20,,
6,1714428404.6647735,0.8921686486717142,0.9009210565033686,3.08,7,,
7,1714428404.6647735,0.8885536638971733,0.9009210565033686,3.0,3,,
8,1714428404.6647735,0.8888756171888842,0.9009210565033686,3.0,3,,
9,1714428404.6647735,0.8893738251420458,0.9009210565033686,3.0,3,,
10,1714428404.6647735,0.8897108941438624,0.9009210565033686,3.0,3,,
11,1714428404.6647735,0.887101130120273,0.9009210565033686,3.0,3,,
12,1714428404.6647735,0.8866951468379208,0.9009210565033686,3.0,3,,
13,1714428404.6647735,0.8878856495474878,0.9009210565033686,3.0,3,,
14,1714428404.6647735,0.8850904551742838,0.9009210565033686,3.0,3,,
15,1714428404.6647735,0.88765921670801,0.9009210565033686,3.0,3,,
16,1714428404.6647735,0.8834546896513136,0.9009210565033686,3.0,3,,
17,1714428404.6647735,0.8867049838911829,0.9009210565033686,3.0,3,,
18,1714428404.6647735,0.8841706220805847,0.9009210565033686,3.0,3,,
19,1714428404.6647735,0.8838341268218315,0.9009210565033686,3.0,3,,
20,1714428404.6647735,0.8834869984788571,0.9009210565033686,3.0,3,,
,,,,,,0.8923437593828826,
,,,,,,,"vec_add(w2, w3)"
