gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714426133.0376096,0.19082632522282963,0.8995582323765774,8.695,44,,
1,1714426133.0376096,0.3573418110396003,0.9015436702232128,7.44,47,,
2,1714426133.0376096,0.5424628298919754,0.9015436702232128,6.835,29,,
3,1714426133.0376096,0.6946123449181871,0.9026672060803422,6.9,29,,
4,1714426133.0376096,0.7825729580794006,0.9029612578092179,5.26,27,,
5,1714426133.0376096,0.8442599103426482,0.903074390156084,4.225,14,,
6,1714426133.0376096,0.8603134657116495,0.9031569642618344,4.185,10,,
7,1714426133.0376096,0.8734534872569885,0.9032572756844991,4.545,13,,
8,1714426133.0376096,0.8624188428183664,0.9032572756844991,5.105,13,,
9,1714426133.0376096,0.8555573935767004,0.9039460434709564,5.975,13,,
10,1714426133.0376096,0.8798536360209723,0.9042349800659407,6.625,19,,
11,1714426133.0376096,0.8730002797009183,0.9044711496678646,7.365,20,,
12,1714426133.0376096,0.8744851471686246,0.9044711496678646,8.275,22,,
13,1714426133.0376096,0.8855135414019532,0.9044711496678646,9.515,26,,
14,1714426133.0376096,0.8943426243021169,0.9044711496678646,11.225,29,,
15,1714426133.0376096,0.8937100188249972,0.9047661134223592,12.915,31,,
16,1714426133.0376096,0.8867149852346795,0.9048334987619122,14.315,35,,
17,1714426133.0376096,0.9016663482157438,0.9047644226564944,16.07,37,,
18,1714426133.0376096,0.8971664663407495,0.9048640179876691,19.51,49,,
19,1714426133.0376096,0.8936422098137675,0.9049720705354867,21.82,51,,
20,1714426133.0376096,0.8999506000522743,0.9049720705354867,25.965,59,,
,,,,,,0.896516624777502,
,,,,,,,"vec_add(vec_add(vec_add(w0, vec_add(w1, w4)), w3), vec_add(w2, vec_add(vec_add(vec_add(w4, w3), w4), w1)))"
