gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714435045.122665,0.18118698386077278,0.9009210565033686,9.365,53,,
1,1714435045.122665,0.3641961378782616,0.9013262279278503,7.06,43,,
2,1714435045.122665,0.5630685421677221,0.9009210565033686,5.945,35,,
3,1714435045.122665,0.690235144421679,0.9028852091414004,5.565,34,,
4,1714435045.122665,0.7967895552289248,0.9028852091414004,4.67,12,,
5,1714435045.122665,0.8624549181067687,0.9023146370038261,3.76,10,,
6,1714435045.122665,0.8674873678024452,0.9028852091414004,3.94,11,,
7,1714435045.122665,0.8707473641665812,0.9028852091414004,4.09,11,,
8,1714435045.122665,0.8645420652512308,0.9029382361846293,4.605,11,,
9,1714435045.122665,0.8546538927502305,0.9036743570999225,5.17,11,,
10,1714435045.122665,0.863974412345578,0.9038878130410072,5.47,13,,
11,1714435045.122665,0.8732861711538814,0.9041594096860865,6.21,13,,
12,1714435045.122665,0.8684158444880882,0.9039267995678915,7.005,18,,
13,1714435045.122665,0.8823045637705659,0.9041594096860865,7.785,18,,
14,1714435045.122665,0.891262852413302,0.9041492546066672,8.645,19,,
15,1714435045.122665,0.8816631694412567,0.9046279526949994,9.195,21,,
16,1714435045.122665,0.8804509146966742,0.9045525387053108,10.6,27,,
17,1714435045.122665,0.8913011899093769,0.9047732712650034,12.46,29,,
18,1714435045.122665,0.8942884859501663,0.9048988969100495,14.42,33,,
19,1714435045.122665,0.890875094825796,0.9046604286189271,15.84,39,,
20,1714435045.122665,0.8869488855419226,0.9047191261438694,18.49,37,,
,,,,,,0.8965240642801393,
,,,,,,,"vec_add(vec_add(vec_add(w1, vec_add(w4, w3)), vec_add(w0, vec_add(vec_add(w2, vec_add(w4, w3)), w3))), vec_add(w2, vec_add(w3, vec_add(w4, w0))))"
