gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714421207.0734994,0.17187817366350294,0.9009210565033686,8.945,53,,
1,1714421207.0734994,0.4003083822332558,0.8995582323765774,6.825,50,,
2,1714421207.0734994,0.5683238541737137,0.9009210565033686,6.675,43,,
3,1714421207.0734994,0.7379369053702033,0.9015436702232128,4.945,22,,
4,1714421207.0734994,0.7947977097418896,0.9022537631607823,3.905,11,,
5,1714421207.0734994,0.815776076377866,0.9028852091414004,3.92,10,,
6,1714421207.0734994,0.8072995120843345,0.9029243793983693,4.25,13,,
7,1714421207.0734994,0.8023332303508104,0.9029382361846293,4.345,11,,
8,1714421207.0734994,0.8369153836751164,0.9035915530329585,4.535,13,,
9,1714421207.0734994,0.8317198681857186,0.9035915530329585,4.755,15,,
10,1714421207.0734994,0.8599173570418895,0.9035915530329585,5.45,11,,
11,1714421207.0734994,0.8394432596307192,0.904220417936612,5.88,15,,
12,1714421207.0734994,0.8485981563518996,0.9036061616130633,6.59,18,,
13,1714421207.0734994,0.862222271898957,0.9041141953900165,7.12,21,,
14,1714421207.0734994,0.8704118863878683,0.9040331293166705,7.675,21,,
15,1714421207.0734994,0.8661372520975756,0.9041939243869067,8.535,23,,
16,1714421207.0734994,0.87683417979169,0.9045302005690902,9.16,22,,
17,1714421207.0734994,0.8727815150068384,0.9045916103359489,10.215,24,,
18,1714421207.0734994,0.8690856183596546,0.9043563938892666,11.405,31,,
19,1714421207.0734994,0.8627958055492542,0.9043424667866771,12.58,35,,
20,1714421207.0734994,0.8802548357764458,0.9046125097061927,14.39,35,,
,,,,,,0.8962066904437707,
,,,,,,,"vec_add(vec_add(vec_add(w1, vec_add(vec_add(w4, w1), w0)), w3), vec_add(w2, vec_add(w0, w4)))"
