gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714431199.3165019,0.17372816755559847,0.8995582323765774,9.645,50,,
1,1714431199.3165019,0.4031246820716325,0.8995582323765774,8.84,48,,
2,1714431199.3165019,0.6044337518387403,0.9009210565033686,7.94,42,,
3,1714431199.3165019,0.7623040384435769,0.9009210565033686,5.905,40,,
4,1714431199.3165019,0.7959295152263202,0.9026672060803422,4.765,23,,
5,1714431199.3165019,0.8022219501739629,0.9009210565033686,4.12,23,,
6,1714431199.3165019,0.8153806407155579,0.9019040581445722,3.965,18,,
7,1714431199.3165019,0.8162694986591522,0.9026149522754444,3.735,11,,
8,1714431199.3165019,0.8192417610620573,0.9028852091414004,3.935,11,,
9,1714431199.3165019,0.8191379904520617,0.9028852091414004,3.77,10,,
10,1714431199.3165019,0.8322674230315087,0.903074390156084,3.89,9,,
11,1714431199.3165019,0.8116997605694022,0.903074390156084,4.285,12,,
12,1714431199.3165019,0.8545952582666696,0.9035155290993792,4.785,12,,
13,1714431199.3165019,0.8331928055985451,0.9035155290993792,5.46,12,,
14,1714431199.3165019,0.8317684696438506,0.9044507753672889,6.05,13,,
15,1714431199.3165019,0.8399659131436039,0.9044507753672889,6.82,13,,
16,1714431199.3165019,0.8636682866801649,0.9044507753672889,7.61,18,,
17,1714431199.3165019,0.8700312065569915,0.9044507753672889,8.16,21,,
18,1714431199.3165019,0.8691003255143279,0.9045722615765671,9.55,19,,
19,1714431199.3165019,0.8697717310797973,0.9045722615765671,10.86,21,,
20,1714431199.3165019,0.877049896381922,0.9045722615765671,11.845,27,,
,,,,,,0.8963502826954755,
,,,,,,,"vec_add(vec_add(vec_add(w4, w0), w3), vec_add(w1, vec_add(w4, w2)))"
