gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714429000.4043546,0.1623999836920273,0.9009210565033686,10.24,52,,
1,1714429000.4043546,0.46425718492514617,0.9028852091414004,6.755,48,,
2,1714429000.4043546,0.676906005539291,0.9029705020479197,5.425,48,,
3,1714429000.4043546,0.8160915374072624,0.9029705020479197,4.43,19,,
4,1714429000.4043546,0.8743856753914696,0.9031041976438339,4.09,13,,
5,1714429000.4043546,0.8945360029789701,0.9033422792263928,5.02,15,,
6,1714429000.4043546,0.8965864925760948,0.9042442834669139,6.15,19,,
7,1714429000.4043546,0.898503258147795,0.9037722772648468,7.54,19,,
8,1714429000.4043546,0.8996432568786616,0.9038994078651423,9.17,21,,
9,1714429000.4043546,0.9000511582014792,0.9042345443026235,10.56,23,,
10,1714429000.4043546,0.9021155417020478,0.9042740157043307,12.45,29,,
11,1714429000.4043546,0.9022654509033563,0.9043514106588261,13.8,33,,
12,1714429000.4043546,0.9025580043933152,0.9046188879672099,15.06,33,,
13,1714429000.4043546,0.9030743503145409,0.9045348711791298,17.09,35,,
14,1714429000.4043546,0.9034155477951501,0.904775922895956,19.25,47,,
15,1714429000.4043546,0.9034550684995761,0.9046152696515678,21.75,57,,
16,1714429000.4043546,0.9037185183047296,0.9046208199803637,24.51,57,,
17,1714429000.4043546,0.9037412995099686,0.9046539593153832,28.15,55,,
18,1714429000.4043546,0.9039526470137176,0.9048177741555526,30.31,59,,
19,1714429000.4043546,0.9039910088342298,0.9049150331370752,31.57,67,,
20,1714429000.4043546,0.9039557443355861,0.9049214168003611,34.71,73,,
,,,,,,0.8964440411467278,
,,,,,,,"vec_add(vec_add(vec_add(vec_add(vec_add(w2, w3), w0), w1), vec_add(vec_add(w3, vec_add(vec_add(vec_add(w2, vec_add(w3, vec_add(vec_add(w1, w3), w3))), w1), w2)), w4)), vec_add(vec_add(w3, vec_add(vec_add(w1, vec_add(vec_add(w3, w1), w1)), w4)), w2))"
