gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714419821.3434994,0.1451367799918788,0.899344197407653,9.14,46,,
1,1714419821.3434994,0.3695563998409262,0.9009210565033686,6.845,40,,
2,1714419821.3434994,0.5227639808654533,0.8995582323765774,7.805,41,,
3,1714419821.3434994,0.6577246990650962,0.9029243793983693,6.84,43,,
4,1714419821.3434994,0.7697557645590866,0.9029243793983693,6.36,21,,
5,1714419821.3434994,0.7898518971499542,0.9029243793983693,5.22,20,,
6,1714419821.3434994,0.8198631494437812,0.9029243793983693,4.41,18,,
7,1714419821.3434994,0.829324169864786,0.9029243793983693,4.615,22,,
8,1714419821.3434994,0.8174278996578763,0.9030097210369867,4.56,14,,
9,1714419821.3434994,0.8521421679664377,0.9030939219233796,5.26,14,,
10,1714419821.3434994,0.8579565591882473,0.9030939219233796,5.63,14,,
11,1714419821.3434994,0.8673968852312046,0.9032572756844991,6.32,13,,
12,1714419821.3434994,0.8675763917494339,0.9036897983532908,6.89,18,,
13,1714419821.3434994,0.8479839385214737,0.904021641599833,7.495,21,,
14,1714419821.3434994,0.8633649660896421,0.9043151673363355,8.44,19,,
15,1714419821.3434994,0.8699320590654347,0.9041135480374168,9.445,23,,
16,1714419821.3434994,0.8638503597668235,0.9041135480374168,10.905,29,,
17,1714419821.3434994,0.8673483467298178,0.9043370925037395,12.2,32,,
18,1714419821.3434994,0.8774597247813856,0.9042360296741683,14.175,41,,
19,1714419821.3434994,0.8832631825238613,0.9047576616798931,15.71,33,,
20,1714419821.3434994,0.8854553882752298,0.9047204648705386,18.81,39,,
,,,,,,0.8963809249332835,
,,,,,,,"vec_add(vec_add(vec_add(w1, w2), vec_add(vec_add(vec_add(w0, w1), w4), w3)), vec_add(vec_add(vec_add(w0, vec_add(w0, w2)), vec_add(w4, w2)), vec_add(vec_add(w4, w2), w3)))"
