gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714433234.8939924,0.17113974783441868,0.9013133903606709,9.155,46,,
1,1714433234.8939924,0.3521593033128982,0.902876290821347,7.635,39,,
2,1714433234.8939924,0.5847426581684885,0.9035155290993792,7.755,36,,
3,1714433234.8939924,0.7899518676290738,0.9035155290993792,5.44,25,,
4,1714433234.8939924,0.8490551861607005,0.9035155290993792,4.715,12,,
5,1714433234.8939924,0.8604937330181884,0.9035155290993792,4.83,11,,
6,1714433234.8939924,0.8720715555018266,0.9035155290993792,5.22,15,,
7,1714433234.8939924,0.8855637517494509,0.903801899600869,5.72,14,,
8,1714433234.8939924,0.8834032415910145,0.9040634411574404,6.535,13,,
9,1714433234.8939924,0.883096539496174,0.9042032715248359,7.38,16,,
10,1714433234.8939924,0.889743589292904,0.9041053494068981,8.36,19,,
11,1714433234.8939924,0.8774467692202986,0.9040349603674234,9.43,21,,
12,1714433234.8939924,0.8841322021647915,0.9043803219828648,10.435,24,,
13,1714433234.8939924,0.8880155609436611,0.9043883903875711,11.95,29,,
14,1714433234.8939924,0.8909757279145591,0.9045302005690902,13.31,31,,
15,1714433234.8939924,0.8792502317037136,0.9045406311756468,14.87,35,,
16,1714433234.8939924,0.8968479464759989,0.9047410403306572,17.355,36,,
17,1714433234.8939924,0.886621776792558,0.9045844070638073,19.435,43,,
18,1714433234.8939924,0.8930099952592496,0.9046045359573133,22.155,67,,
19,1714433234.8939924,0.8892611727770202,0.9046062007588348,25.485,81,,
20,1714433234.8939924,0.8952456657130524,0.9048108764027878,31.37,93,,
,,,,,,0.896330311801168,
,,,,,,,"vec_add(vec_add(w1, vec_add(w0, vec_add(w2, vec_add(vec_add(w0, w4), w3)))), vec_add(vec_add(w4, vec_add(w3, w0)), vec_add(w2, vec_add(vec_add(w0, w4), w3))))"
