gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714426902.0976663,0.16252406739257044,0.9009210565033686,8.13,48,,
1,1714426902.0976663,0.3751401444953335,0.9009210565033686,6.805,44,,
2,1714426902.0976663,0.6311181100239398,0.9026149522754444,6.325,42,,
3,1714426902.0976663,0.7744629506800045,0.9028852091414004,4.605,17,,
4,1714426902.0976663,0.8704272635174871,0.9028852091414004,3.45,9,,
5,1714426902.0976663,0.8940482187870487,0.9028852091414004,3.39,7,,
6,1714426902.0976663,0.8931153533314101,0.9028852091414004,3.54,7,,
7,1714426902.0976663,0.893453397348535,0.9029243793983693,3.9,9,,
8,1714426902.0976663,0.8957938903486476,0.9032572756844991,4.27,9,,
9,1714426902.0976663,0.8971007442716441,0.9037765345999504,4.84,9,,
10,1714426902.0976663,0.8973150392571597,0.903703077010543,5.15,13,,
11,1714426902.0976663,0.8982445152577244,0.9034622618733685,5.74,13,,
12,1714426902.0976663,0.8987335542180938,0.9038878130410072,6.2,13,,
13,1714426902.0976663,0.899325828808118,0.9044327453392452,7.09,19,,
14,1714426902.0976663,0.9005029237012104,0.9043563938892666,8.3,21,,
15,1714426902.0976663,0.9009241376676649,0.9045519692723897,9.32,19,,
16,1714426902.0976663,0.9018438600296156,0.9043563938892666,10.83,25,,
17,1714426902.0976663,0.902148915575525,0.904422304114206,12.61,33,,
18,1714426902.0976663,0.9027151532346599,0.9045103934022718,14.74,39,,
19,1714426902.0976663,0.9026734125727569,0.9045103934022718,17.66,45,,
20,1714426902.0976663,0.9031392225457395,0.9045762498454676,19.9,45,,
,,,,,,0.8959608632320532,
,,,,,,,"vec_add(vec_add(w2, vec_add(vec_add(w1, vec_add(w4, w3)), w4)), vec_add(vec_add(vec_add(w1, w3), vec_add(w1, w2)), vec_add(w3, vec_add(vec_add(w1, w2), w4))))"
