gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714435840.5996828,0.20022551008515543,0.9009210565033686,9.415,58,,
1,1714435840.5996828,0.44624524668087473,0.9026672060803422,8.345,32,,
2,1714435840.5996828,0.6608258623902435,0.9026672060803422,7.085,32,,
3,1714435840.5996828,0.8079580144769406,0.9029243793983693,4.6,19,,
4,1714435840.5996828,0.838646455313658,0.9029243793983693,4.14,13,,
5,1714435840.5996828,0.8667139011991236,0.9029243793983693,3.99,11,,
6,1714435840.5996828,0.8542094291227695,0.9031569642618344,4.28,13,,
7,1714435840.5996828,0.8512797520289476,0.9031569642618344,4.595,11,,
8,1714435840.5996828,0.8575263888450574,0.9031569642618344,4.96,13,,
9,1714435840.5996828,0.8616666480804301,0.903728880574346,5.675,13,,
10,1714435840.5996828,0.8737039714047703,0.9040776898012062,6.42,17,,
11,1714435840.5996828,0.8618952440951384,0.9039658909575363,7.565,21,,
12,1714435840.5996828,0.8844086707955219,0.9039570897646307,8.97,25,,
13,1714435840.5996828,0.873600217774503,0.9042776310493441,10.835,29,,
14,1714435840.5996828,0.8853779681699776,0.9043553515782884,12.985,33,,
15,1714435840.5996828,0.8918536397382393,0.9045356827144918,15.315,39,,
16,1714435840.5996828,0.8899625730087314,0.9044937936673124,18.46,47,,
17,1714435840.5996828,0.8952524720703002,0.9048230435535694,20.325,45,,
18,1714435840.5996828,0.8963247154166942,0.9047279535103792,23.145,54,,
19,1714435840.5996828,0.8934279229147256,0.9047026766660184,24.825,55,,
20,1714435840.5996828,0.8995796240694074,0.9048132390132756,26.74,57,,
,,,,,,0.8963075790447049,
,,,,,,,"vec_add(vec_add(w3, vec_add(w0, vec_add(w4, w1))), vec_add(w2, vec_add(vec_add(w4, vec_add(w1, vec_add(vec_add(vec_add(w1, w2), w0), w2))), w1)))"
