gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714432693.883858,0.18218965174974447,0.9010954551826064,8.9,44,,
1,1714432693.883858,0.3824660005374062,0.9013262279278503,6.93,34,,
2,1714432693.883858,0.530027771375478,0.9028380419391295,7.09,29,,
3,1714432693.883858,0.7530081920914102,0.9029243793983693,5.45,30,,
4,1714432693.883858,0.8165593386704765,0.9029243793983693,5.14,15,,
5,1714432693.883858,0.847716958031913,0.9029382361846293,5.27,13,,
6,1714432693.883858,0.8685183034151103,0.9030681183082202,5.82,15,,
7,1714432693.883858,0.8432743772361397,0.9042526883320694,6.405,14,,
8,1714432693.883858,0.8523774171005036,0.9042526883320694,6.925,16,,
9,1714432693.883858,0.8662465973162301,0.9042526883320694,7.015,17,,
10,1714432693.883858,0.8662244670871988,0.9042526883320694,7.445,20,,
11,1714432693.883858,0.8697242368018281,0.904478620016707,8.395,19,,
12,1714432693.883858,0.8659103876057125,0.904478620016707,9.765,22,,
13,1714432693.883858,0.8663515123672016,0.9045730794154753,11.68,26,,
14,1714432693.883858,0.8631749008107319,0.904478620016707,12.405,25,,
15,1714432693.883858,0.8813281959782253,0.9045861997176117,14.505,35,,
16,1714432693.883858,0.8870075494305862,0.9046240072573494,15.785,38,,
17,1714432693.883858,0.8800814548877011,0.9046240072573494,16.29,36,,
18,1714432693.883858,0.8681065626236812,0.9046643935678084,16.89,39,,
19,1714432693.883858,0.8960346203423064,0.9046769395455713,17.98,43,,
20,1714432693.883858,0.8758337933536812,0.904843039910614,20.475,53,,
,,,,,,0.8963502869056597,
,,,,,,,"vec_add(vec_add(vec_add(w4, vec_add(w3, w1)), vec_add(vec_add(w0, vec_add(w2, w1)), w3)), vec_add(w2, vec_add(w4, vec_add(vec_add(vec_add(w4, vec_add(w0, w3)), w3), w1))))"
