gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714423130.1183827,0.17703107427851655,0.9009210565033686,8.135,38,,
1,1714423130.1183827,0.43958355797627524,0.9035155290993792,7.75,38,,
2,1714423130.1183827,0.6241650606321412,0.9028852091414004,6.985,38,,
3,1714423130.1183827,0.7975930664415631,0.9034885404179342,5.15,25,,
4,1714423130.1183827,0.8299651955448737,0.9029243793983693,4.455,18,,
5,1714423130.1183827,0.8462961315022798,0.9029243793983693,3.95,11,,
6,1714423130.1183827,0.8621808692843195,0.9029308703699139,4.19,15,,
7,1714423130.1183827,0.8732472307772425,0.9029243793983693,4.315,13,,
8,1714423130.1183827,0.8562131312781907,0.9029243793983693,4.52,11,,
9,1714423130.1183827,0.8591241888282736,0.9035155290993792,4.89,13,,
10,1714423130.1183827,0.8735352887364232,0.9035155290993792,5.365,15,,
11,1714423130.1183827,0.8694893770012527,0.9036868939948837,5.66,15,,
12,1714423130.1183827,0.8821993114546336,0.9036868939948837,6.375,17,,
13,1714423130.1183827,0.8768689443295916,0.9039976215228751,7.525,19,,
14,1714423130.1183827,0.88019232978951,0.9044111198223177,9.06,21,,
15,1714423130.1183827,0.8749380552300957,0.9041412593927278,9.73,23,,
16,1714423130.1183827,0.8828397438234714,0.9043333011757919,11.775,34,,
17,1714423130.1183827,0.8892919983587474,0.9044346506906507,14.075,34,,
18,1714423130.1183827,0.890844227783976,0.90464979796085,16.77,39,,
19,1714423130.1183827,0.8886266071688249,0.9047021985865469,19.2,43,,
20,1714423130.1183827,0.8973866401919938,0.9047956704880972,22.475,50,,
,,,,,,0.8964339660035355,
,,,,,,,"vec_add(vec_add(vec_add(w2, w4), w1), vec_add(w3, vec_add(vec_add(w2, vec_add(vec_add(w4, vec_add(w1, w0)), vec_add(w2, w4))), w0)))"
